Biosample ID	Sample name	Sex	Population name	Superpopulation code	Superpopulation name
SAME125341	HG00112	male	British	EUR	European Ancestry
SAME125346	HG00117	male	British	EUR	European Ancestry
SAME122870	HG00124	female	British	EUR	European Ancestry
SAME122867	HG00129	male	British	EUR	European Ancestry
SAME123064	HG00131	male	British	EUR	European Ancestry
SAME123065	HG00136	male	British	EUR	European Ancestry
SAME124393	HG00143	male	British	EUR	European Ancestry
SAME124388	HG00148	male	British	EUR	European Ancestry
SAME124591	HG00150	female	British	EUR	European Ancestry
SAME124588	HG00155	male	British	EUR	European Ancestry
SAME123267	HG00097	female	British	EUR	European Ancestry
SAME125154	HG00100	female	British	EUR	European Ancestry
SAME123949	HG00105	male	British	EUR	European Ancestry
SAME123969	HG00554	female	Puerto Rican	AMR	American Ancestry
SAME125160	HG00109	male	British	EUR	European Ancestry
SAME124248	HG00559	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125340	HG00111	female	British	EUR	European Ancestry
SAME124455	HG00561	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125345	HG00116	male	British	EUR	European Ancestry
SAME125048	HG00566	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122875	HG00123	female	British	EUR	European Ancestry
SAME123528	HG00578	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122868	HG00128	female	British,English	EUR	European Ancestry,West Eurasia (SGDP)
SAME124832	HG00580	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123063	HG00130	female	British	EUR	European Ancestry
SAME124722	HG00585	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124586	HG00159	male	British	EUR	European Ancestry
SAME125124	HG00357	female	Finnish	EUR	European Ancestry
SAME124960	HG00173	female	Finnish	EUR	European Ancestry
SAME124543	HG00364	female	Finnish	EUR	European Ancestry
SAME124964	HG00178	female	Finnish	EUR	European Ancestry
SAME124534	HG00369	male	Finnish	EUR	European Ancestry
SAME123645	HG00180	female	Finnish	EUR	European Ancestry
SAME124747	HG00371	male	Finnish	EUR	European Ancestry
SAME123648	HG00185	male	Finnish	EUR	European Ancestry
SAME124751	HG00376	female	Finnish	EUR	European Ancestry
SAME124126	HG00231	female	British	EUR	European Ancestry
SAME123032	HG00383	female	Finnish	EUR	European Ancestry
SAME123273	HG00236	female	British	EUR	European Ancestry
SAME123160	HG00403	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123224	HG00243	male	British	EUR	European Ancestry
SAME124958	HG00174	female	Finnish,Finnish	EUR	European Ancestry,West Eurasia (SGDP)
SAME123226	HG00248	female	British	EUR	European Ancestry
SAME124965	HG00179	female	Finnish	EUR	European Ancestry
SAME123054	HG00250	female	British	EUR	European Ancestry
SAME123644	HG00181	male	Finnish	EUR	European Ancestry
SAME123049	HG00255	female	British	EUR	European Ancestry
SAME123647	HG00186	male	Finnish	EUR	European Ancestry
SAME123580	HG00262	female	British	EUR	European Ancestry
SAME124128	HG00232	female	British	EUR	European Ancestry
SAME123068	HG00135	female	British	EUR	European Ancestry
SAME123880	HG00446	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124818	HG00142	male	British	EUR	European Ancestry
SAME123113	HG00453	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124389	HG00147	female	British	EUR	European Ancestry
SAME125278	HG00458	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124587	HG00154	female	British	EUR	European Ancestry
SAME123498	HG00465	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123268	HG00096	male	British	EUR	European Ancestry
SAME123339	HG00472	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123950	HG00104	female	British	EUR	European Ancestry
SAME123340	HG00477	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124124	HG00237	female	British	EUR	European Ancestry
SAME123217	HG00244	male	British	EUR	European Ancestry
SAME123227	HG00249	female	British	EUR	European Ancestry
SAME123053	HG00251	male	British	EUR	European Ancestry
SAME124254	HG00553	male	Puerto Rican	AMR	American Ancestry
SAME123048	HG00256	male	British	EUR	European Ancestry
SAME124247	HG00558	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123581	HG00263	female	British	EUR	European Ancestry
SAME124456	HG00560	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123155	HG00408	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124452	HG00565	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME1839734	HG00410	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123516	HG00577	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122809	HG00422	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124663	HG00584	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122806	HG00427	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124824	HG00589	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124334	HG00319	female	Finnish	EUR	European Ancestry
SAME125010	HG00591	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123796	HG00321	male	Finnish	EUR	European Ancestry
SAME124337	HG00313	female	Finnish	EUR	European Ancestry
SAME123792	HG00326	female	Finnish	EUR	European Ancestry
SAME124333	HG00318	female	Finnish	EUR	European Ancestry
SAME123990	HG00338	male	Finnish	EUR	European Ancestry
SAME123797	HG00320	female	Finnish	EUR	European Ancestry
SAME124919	HG00345	male	Finnish	EUR	European Ancestry
SAME123793	HG00325	male	Finnish	EUR	European Ancestry
SAME124356	HG00530	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123987	HG00332	female	Finnish	EUR	European Ancestry
SAME124348	HG00535	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123984	HG00337	female	Finnish	EUR	European Ancestry
SAME124352	HG00542	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125255	HG00344	female	Finnish	EUR	European Ancestry
SAME123574	HG00268	female	Finnish	EUR	European Ancestry
SAME124925	HG00349	female	Finnish	EUR	European Ancestry
SAME123418	HG00270	female	Finnish	EUR	European Ancestry
SAME125122	HG00351	male	Finnish	EUR	European Ancestry
SAME123421	HG00275	female	Finnish	EUR	European Ancestry
SAME124975	HG00445	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122833	HG00282	female	Finnish	EUR	European Ancestry
SAME123115	HG00452	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123095	HG00457	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123683	HG00693	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123497	HG00464	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123693	HG00698	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123341	HG00476	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122931	HG00701	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125106	HG00407	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122930	HG00706	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122991	HG00419	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123114	HG00718	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122808	HG00421	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125396	HG00732	female	Puerto Rican	AMR	American Ancestry
SAME125267	HG00438	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125416	HG00737	female	Puerto Rican	AMR	American Ancestry
SAME1839285	HG00623	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123254	HG00650	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123085	HG00628	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123257	HG00655	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122901	HG00630	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123812	HG00662	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122902	HG00635	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME1840080	HG00674	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125007	HG00596	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122825	HG01069	male	Puerto Rican	AMR	American Ancestry
SAME125370	HG00609	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123009	HG01071	female	Puerto Rican	AMR	American Ancestry
SAME125198	HG00611	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125397	HG01083	female	Puerto Rican	AMR	American Ancestry
SAME123577	HG00267	male	Finnish	EUR	European Ancestry
SAME1839361	HG01088	male	Puerto Rican	AMR	American Ancestry
SAME123422	HG00274	female	Finnish	EUR	European Ancestry
SAME122832	HG00281	female	Finnish	EUR	European Ancestry
SAME124159	HG00306	female	Finnish	EUR	European Ancestry
SAME123086	HG00629	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125123	HG00356	female	Finnish	EUR	European Ancestry
SAME1839060	HG00631	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124535	HG00368	female	Finnish	EUR	European Ancestry
SAME123711	HG00636	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124750	HG00375	male	Finnish	EUR	European Ancestry
SAME122926	HG01095	female	Puerto Rican	AMR	American Ancestry
SAME123033	HG00382	male	Finnish	EUR	European Ancestry
SAME123679	HG01103	female	Puerto Rican	AMR	American Ancestry
SAME123915	HG00534	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123103	HG01108	female	Puerto Rican	AMR	American Ancestry
SAME1840273	HG00729	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123487	HG01110	male	Puerto Rican	AMR	American Ancestry
SAME125390	HG00731	male	Puerto Rican	AMR	American Ancestry
SAME125011	HG00592	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123058	HG00736	male	Puerto Rican	AMR	American Ancestry
SAME125008	HG00597	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME1840184	HG00743	female	Puerto Rican	AMR	American Ancestry
SAME123483	HG01114	female	Colombian	AMR	American Ancestry
SAME125197	HG00612	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME1840402	HG01119	female	Colombian	AMR	American Ancestry
SAME123368	HG01052	female	Puerto Rican	AMR	American Ancestry
SAME1840127	HG01121	male	Colombian	AMR	American Ancestry
SAME1839759	HG01064	female	Puerto Rican	AMR	American Ancestry
SAME124052	HG01126	male	Colombian	AMR	American Ancestry
SAME123547	HG00864	female	Dai Chinese	EAS	East Asian Ancestry
SAME123884	HG01133	male	Colombian	AMR	American Ancestry
SAME124321	HG01184	female	Puerto Rican	AMR	American Ancestry
SAME123877	HG01138	male	Colombian	AMR	American Ancestry
SAME124878	HG01189	male	Puerto Rican	AMR	American Ancestry
SAME124422	HG01140	female	Colombian	AMR	American Ancestry
SAME123651	HG01191	female	Puerto Rican	AMR	American Ancestry
SAME123436	HG00642	male	Puerto Rican	AMR	American Ancestry
SAME124297	HG01204	male	Puerto Rican	AMR	American Ancestry
SAME123234	HG00654	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME125064	HG01242	female	Puerto Rican	AMR	American Ancestry
SAME123605	HG00673	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124864	HG01348	female	Colombian	AMR	American Ancestry
SAME123891	HG00685	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME124684	HG01350	male	Colombian	AMR	American Ancestry
SAME122826	HG01068	female	Puerto Rican	AMR	American Ancestry
SAME124679	HG01355	female	Colombian	AMR	American Ancestry
SAME123993	HG01070	female	Puerto Rican	AMR	American Ancestry
SAME1839066	HG01362	male	Colombian	AMR	American Ancestry
SAME124071	HG01075	male	Puerto Rican	AMR	American Ancestry
SAME125266	HG01367	female	Colombian	AMR	American Ancestry
SAME125398	HG01082	male	Puerto Rican	AMR	American Ancestry
SAME125067	HG01247	male	Puerto Rican	AMR	American Ancestry
SAME125393	HG01087	female	Puerto Rican	AMR	American Ancestry
SAME125285	HG01254	female	Colombian	AMR	American Ancestry
SAME123684	HG00692	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125280	HG01259	male	Colombian	AMR	American Ancestry
SAME122932	HG00700	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME122814	HG01261	male	Colombian	AMR	American Ancestry
SAME122927	HG00705	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124046	HG01273	male	Colombian	AMR	American Ancestry
SAME124926	HG00717	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123003	HG01278	female	Colombian	AMR	American Ancestry
SAME125248	HG01049	female	Puerto Rican	AMR	American Ancestry
SAME1839113	HG01280	male	Colombian	AMR	American Ancestry
SAME123712	HG01051	male	Puerto Rican	AMR	American Ancestry
SAME1840020	HG01305	male	Puerto Rican	AMR	American Ancestry
SAME123658	HG01056	male	Puerto Rican	AMR	American Ancestry
SAME1839950	HG01398	male	Puerto Rican	AMR	American Ancestry
SAME1839767	HG01063	male	Puerto Rican	AMR	American Ancestry
SAME1839612	HG01413	male	Puerto Rican	AMR	American Ancestry
SAME122925	HG01094	male	Puerto Rican	AMR	American Ancestry
SAME1839256	HG01432	female	Colombian	AMR	American Ancestry
SAME123771	HG01099	male	Puerto Rican	AMR	American Ancestry
SAME124966	HG01437	male	Colombian	AMR	American Ancestry
SAME123678	HG01102	female	Puerto Rican	AMR	American Ancestry
SAME124291	HG01374	male	Colombian	AMR	American Ancestry
SAME123675	HG01107	male	Puerto Rican	AMR	American Ancestry
SAME124283	HG01379	female	Colombian	AMR	American Ancestry
SAME1839690	HG01164	male	Puerto Rican	AMR	American Ancestry
SAME1840222	HG01393	female	Puerto Rican	AMR	American Ancestry
SAME124797	HG01169	female	Puerto Rican	AMR	American Ancestry
SAME124423	HG01141	female	Colombian	AMR	American Ancestry
SAME124622	HG01171	female	Puerto Rican	AMR	American Ancestry
SAME124625	HG01172	male	Puerto Rican	AMR	American Ancestry
SAME124621	HG01176	male	Puerto Rican	AMR	American Ancestry
SAME124620	HG01177	female	Puerto Rican	AMR	American Ancestry
SAME123952	HG00844	male	Dai Chinese	EAS	East Asian Ancestry
SAME1840203	HG01122	female	Colombian	AMR	American Ancestry
SAME123756	HG00851	female	Dai Chinese	EAS	East Asian Ancestry
SAME123887	HG01134	female	Colombian	AMR	American Ancestry
SAME123769	HG00983	male	Dai Chinese	EAS	East Asian Ancestry
SAME123876	HG01139	male	Colombian	AMR	American Ancestry
SAME124792	HG01183	female	Puerto Rican	AMR	American Ancestry
SAME1839791	HG01312	female	Puerto Rican	AMR	American Ancestry
SAME124927	HG01188	female	Puerto Rican	AMR	American Ancestry
SAME123654	HG01190	male	Puerto Rican	AMR	American Ancestry
SAME124857	HG01343	female	Colombian	AMR	American Ancestry
SAME125141	HG01538	female	Iberian	EUR	European Ancestry
SAME125065	HG01241	male	Puerto Rican	AMR	American Ancestry
SAME124007	HG01552	male	Colombian	AMR	American Ancestry
SAME1839796	HG01311	male	Puerto Rican	AMR	American Ancestry
SAME124346	HG01571	male	Peruvian	AMR	American Ancestry
SAME1839534	HG01323	female	Puerto Rican	AMR	American Ancestry
SAME1839895	HG01583	male	Punjabi	SAS	South Asian Ancestry
SAME124856	HG01342	female	Colombian	AMR	American Ancestry
SAME124861	HG01347	male	Colombian	AMR	American Ancestry
SAME123569	HG01595	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124076	HG01378	female	Colombian	AMR	American Ancestry
SAME123453	HG01603	male	Iberian	EUR	European Ancestry
SAME122970	HG01385	female	Colombian	AMR	American Ancestry
SAME123462	HG01608	male	Iberian	EUR	European Ancestry
SAME1840234	HG01392	male	Puerto Rican	AMR	American Ancestry
SAME123623	HG01610	male	Iberian	EUR	European Ancestry
SAME123628	HG01615	male	Iberian	EUR	European Ancestry
SAME124680	HG01354	female	Colombian	AMR	American Ancestry
SAME123846	HG01622	female	Iberian	EUR	European Ancestry
SAME124687	HG01359	male	Colombian	AMR	American Ancestry
SAME124504	HG01361	female	Colombian	AMR	American Ancestry
SAME125265	HG01366	female	Colombian	AMR	American Ancestry
SAME124135	HG01494	male	Colombian	AMR	American Ancestry
SAME125284	HG01253	male	Colombian	AMR	American Ancestry
SAME124143	HG01499	male	Colombian	AMR	American Ancestry
SAME125279	HG01258	male	Colombian	AMR	American Ancestry
SAME124765	HG01519	female	Iberian	EUR	European Ancestry
SAME122815	HG01260	female	Colombian	AMR	American Ancestry
SAME125324	HG01521	male	Iberian	EUR	European Ancestry
SAME122996	HG01272	female	Colombian	AMR	American Ancestry
SAME125325	HG01526	male	Iberian	EUR	European Ancestry
SAME1839032	HG01443	male	Colombian	AMR	American Ancestry
SAME124943	HG01502	male	Iberian	EUR	European Ancestry
SAME123429	HG01455	male	Colombian	AMR	American Ancestry
SAME124948	HG01507	female	Iberian	EUR	European Ancestry
SAME123539	HG01462	female	Colombian	AMR	American Ancestry
SAME124775	HG01514	female	Iberian	EUR	European Ancestry
SAME1839863	HG01405	male	Puerto Rican	AMR	American Ancestry
SAME1839026	HG01444	female	Colombian	AMR	American Ancestry
SAME1839619	HG01412	male	Puerto Rican	AMR	American Ancestry
SAME123427	HG01456	female	Colombian	AMR	American Ancestry
SAME1839260	HG01431	male	Colombian	AMR	American Ancestry
SAME123537	HG01463	female	Colombian	AMR	American Ancestry
SAME1840189	HG01474	female	Colombian	AMR	American Ancestry
SAME1840382	HG01468	female	Colombian	AMR	American Ancestry
SAME1840251	HG01479	male	Colombian	AMR	American Ancestry
SAME123841	HG01627	male	Iberian	EUR	European Ancestry
SAME123194	HG01867	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123000	HG01277	male	Colombian	AMR	American Ancestry
SAME123396	HG01874	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839191	HG01284	female	Colombian	AMR	American Ancestry
SAME1839037	HG01879	male	African Caribbean	AFR	African Ancestry
SAME124766	HG01518	male	Iberian	EUR	European Ancestry
SAME1839193	HG01881	female	African Caribbean	AFR	African Ancestry
SAME125323	HG01520	female	Iberian	EUR	European Ancestry
SAME123229	HG01709	male	Iberian	EUR	European Ancestry
SAME125328	HG01525	female	Iberian	EUR	European Ancestry
SAME123083	HG01711	female	Iberian	EUR	European Ancestry
SAME125138	HG01532	male	Iberian	EUR	European Ancestry
SAME125181	HG01747	male	Iberian	EUR	European Ancestry
SAME125134	HG01537	female	Iberian	EUR	European Ancestry
SAME124810	HG01761	male	Iberian	EUR	European Ancestry
SAME124517	HG01812	female	Dai Chinese	EAS	East Asian Ancestry
SAME125238	HG01599	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124522	HG01817	female	Dai Chinese	EAS	East Asian Ancestry
SAME123454	HG01602	female	Iberian	EUR	European Ancestry
SAME123553	HG01843	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123457	HG01607	female	Iberian	EUR	European Ancestry
SAME123548	HG01848	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123627	HG01614	female	Iberian	EUR	European Ancestry
SAME123288	HG01672	male	Iberian	EUR	European Ancestry
SAME123632	HG01619	male	Iberian	EUR	European Ancestry
SAME123285	HG01677	female	Iberian	EUR	European Ancestry
SAME123843	HG01621	male	Iberian	EUR	European Ancestry
SAME124660	HG01684	female	Iberian	EUR	European Ancestry
SAME123842	HG01626	female	Iberian	EUR	European Ancestry
SAME124630	HG01778	male	Iberian	EUR	European Ancestry
SAME124033	HG01633	male	Iberian	EUR	European Ancestry
SAME124428	HG01780	male	Iberian	EUR	European Ancestry
SAME123110	HG01669	male	Iberian	EUR	European Ancestry
SAME1839313	HG01785	male	Iberian	EUR	European Ancestry
SAME1840048	HG01486	female	Colombian	AMR	American Ancestry
SAME124715	HG01696	male	Iberian	EUR	European Ancestry
SAME124138	HG01493	female	Colombian	AMR	American Ancestry
SAME123265	HG01704	female	Iberian	EUR	European Ancestry
SAME124142	HG01498	female	Colombian	AMR	American Ancestry
SAME1839673	HG01766	female	Iberian	EUR	European Ancestry
SAME124942	HG01501	female	Iberian	EUR	European Ancestry
SAME124635	HG01773	female	Iberian	EUR	European Ancestry
SAME124947	HG01506	male	Iberian	EUR	European Ancestry
SAME123752	HG01850	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124768	HG01513	female	Iberian	EUR	European Ancestry
SAME123749	HG01855	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123291	HG01671	male	Iberian	EUR	European Ancestry
SAME123199	HG01862	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123284	HG01676	female	Iberian	EUR	European Ancestry
SAME124219	HG01797	female	Dai Chinese	EAS	East Asian Ancestry
SAME124653	HG01683	male	Iberian	EUR	European Ancestry
SAME124306	HG01800	female	Dai Chinese	EAS	East Asian Ancestry
SAME124008	HG01551	female	Colombian	AMR	American Ancestry
SAME124301	HG01805	female	Dai Chinese	EAS	East Asian Ancestry
SAME1840141	HG01556	male	Colombian	AMR	American Ancestry
SAME123445	HG02017	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124845	HG01695	female	Iberian	EUR	European Ancestry
SAME125182	HG02024	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123260	HG01703	male	Iberian	EUR	European Ancestry
SAME124021	HG02029	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123195	HG01866	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839964	HG02031	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123400	HG01873	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME122847	HG01886	female	African Caribbean	AFR	African Ancestry
SAME123394	HG01878	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123027	HG01893	female	Peruvian	AMR	American Ancestry
SAME1839109	HG01880	female	African Caribbean	AFR	African Ancestry
SAME124383	HG01898	female	Peruvian	AMR	American Ancestry
SAME122844	HG01885	male	African Caribbean	AFR	African Ancestry
SAME124145	HG01949	female	Peruvian	AMR	American Ancestry
SAME123026	HG01892	male	Peruvian	AMR	American Ancestry
SAME123976	HG01951	female	Peruvian	AMR	American Ancestry
SAME1840343	HG01897	male	African Caribbean	AFR	African Ancestry
SAME123978	HG01956	female	African Caribbean	AFR	African Ancestry
SAME1839779	HG01912	male	African Caribbean	AFR	African Ancestry
SAME123772	HG02048	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123235	HG01917	male	Peruvian	AMR	American Ancestry
SAME1839555	HG02050	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123785	HG01924	female	Peruvian	AMR	American Ancestry
SAME1839531	HG02055	male	African Caribbean	AFR	African Ancestry
SAME124431	HG01784	female	Iberian	EUR	European Ancestry
SAME123240	HG01918	female	Peruvian	AMR	American Ancestry
SAME124433	HG01789	male	British	EUR	European Ancestry
SAME123789	HG01920	male	Peruvian	AMR	American Ancestry
SAME124221	HG01791	male	British	EUR	European Ancestry
SAME123786	HG01925	female	Peruvian	AMR	American Ancestry
SAME125380	HG01811	male	Dai Chinese	EAS	East Asian Ancestry
SAME124532	HG01968	female	Peruvian	AMR	American Ancestry
SAME124521	HG01816	male	Dai Chinese	EAS	East Asian Ancestry
SAME124327	HG01970	male	Peruvian	AMR	American Ancestry
SAME123554	HG01842	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124322	HG01975	female	Peruvian	AMR	American Ancestry
SAME123557	HG01847	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123587	HG01932	male	Peruvian	AMR	American Ancestry
SAME1839681	HG01765	male	Iberian	EUR	European Ancestry
SAME123590	HG01937	male	Peruvian	AMR	American Ancestry
SAME124636	HG01772	female	Iberian	EUR	European Ancestry
SAME124152	HG01944	male	Peruvian	AMR	American Ancestry
SAME124631	HG01777	male	Iberian	EUR	European Ancestry
SAME1840111	HG01982	male	Peruvian	AMR	American Ancestry
SAME123253	HG01708	male	Iberian	EUR	European Ancestry
SAME1840089	HG01987	male	African Caribbean	AFR	African Ancestry
SAME123084	HG01710	female	Iberian	EUR	European Ancestry
SAME1840403	HG02012	female	African Caribbean	AFR	African Ancestry
SAME125180	HG01746	female	Iberian	EUR	European Ancestry
SAME1839370	HG02233	male	Iberian	EUR	European Ancestry
SAME124220	HG01796	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839423	HG02238	male	Iberian	EUR	European Ancestry
SAME124302	HG01804	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839481	HG02240	female	Iberian	EUR	European Ancestry
SAME124299	HG01809	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839354	HG02252	female	Peruvian	AMR	American Ancestry
SAME123535	HG01859	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123875	HG02106	female	Peruvian	AMR	American Ancestry
SAME123200	HG01861	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124044	HG02113	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124739	HG01998	male	Peruvian	AMR	American Ancestry
SAME123480	HG02120	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123620	HG02004	female	Peruvian	AMR	American Ancestry
SAME1839624	HG02144	female	African Caribbean	AFR	African Ancestry
SAME123622	HG02009	male	African Caribbean	AFR	African Ancestry
SAME1839403	HG02151	female	Dai Chinese	EAS	East Asian Ancestry
SAME123443	HG02011	male	African Caribbean	AFR	African Ancestry
SAME124793	HG02156	female	Dai Chinese	EAS	East Asian Ancestry
SAME123446	HG02016	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME125038	HG02187	female	Dai Chinese	EAS	East Asian Ancestry
SAME125247	HG01981	female	Peruvian	AMR	American Ancestry
SAME1839813	HG02219	male	Iberian	EUR	European Ancestry
SAME1840091	HG01986	male	African Caribbean	AFR	African Ancestry
SAME123716	HG02221	male	Iberian	EUR	European Ancestry
SAME124741	HG01993	female	Peruvian	AMR	American Ancestry
SAME1839326	HG02257	female	African Caribbean	AFR	African Ancestry
SAME1840035	HG02035	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840319	HG02271	male	Peruvian	AMR	American Ancestry
SAME1839772	HG02047	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123098	HG02079	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839538	HG02054	female	African Caribbean	AFR	African Ancestry
SAME124826	HG02081	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124530	HG01967	male	Peruvian	AMR	American Ancestry
SAME124675	HG02086	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124323	HG01974	male	Peruvian	AMR	American Ancestry
SAME1839388	HG02067	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124331	HG01979	male	Peruvian	AMR	American Ancestry
SAME123107	HG02074	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124144	HG01948	female	Peruvian	AMR	American Ancestry
SAME1839889	HG02132	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123977	HG01950	male	Peruvian	AMR	American Ancestry
SAME1839862	HG02137	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123979	HG01955	female	Peruvian	AMR	American Ancestry
SAME123099	HG02078	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME124825	HG02080	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME125035	HG02182	female	Dai Chinese	EAS	East Asian Ancestry
SAME124979	HG02085	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839801	HG02478	male	African Caribbean	AFR	African Ancestry
SAME125307	HG02023	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839876	HG02480	female	African Caribbean	AFR	African Ancestry
SAME124020	HG02028	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839564	HG02485	female	African Caribbean	AFR	African Ancestry
SAME1839966	HG02030	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839610	HG02492	male	Punjabi	SAS	South Asian Ancestry
SAME1839596	HG02059	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840352	HG02442	male	African Caribbean	AFR	African Ancestry
