Biosample ID	Sample name	Sex	Population name	Superpopulation code	Superpopulation name
SAME123674	HG01106	male	Puerto Rican	AMR	American Ancestry
SAME124790	HG02152	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839445	HG02759	male	Gambian Mandinka	AFR	African Ancestry
SAME123484	HG01113	female	Colombian	AMR	American Ancestry
SAME124209	HG02164	female	Dai Chinese	EAS	East Asian Ancestry
SAME124685	HG01353	male	Colombian	AMR	American Ancestry
SAME1839367	HG02234	male	Iberian	EUR	European Ancestry
SAME124688	HG01358	male	Colombian	AMR	American Ancestry
SAME1839420	HG02239	female	Iberian	EUR	European Ancestry
SAME1840355	HG02879	female	Gambian Mandinka	AFR	African Ancestry
SAME122855	HG01360	female	Colombian	AMR	American Ancestry
SAME1839347	HG02253	male	Peruvian	AMR	American Ancestry
SAME1840178	HG02881	male	Gambian Mandinka	AFR	African Ancestry
SAME124508	HG01365	male	Colombian	AMR	American Ancestry
SAME123374	HG02068	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME125283	HG01252	male	Colombian	AMR	American Ancestry
SAME124908	HG02070	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839924	HG03012	male	Bengali	SAS	South Asian Ancestry
SAME125288	HG01257	female	Colombian	AMR	American Ancestry
SAME123106	HG02075	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839257	HG01269	female	Colombian	AMR	American Ancestry
SAME1839882	HG02133	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839799	HG03024	male	Gambian Mandinka	AFR	African Ancestry
SAME122998	HG01271	male	Colombian	AMR	American Ancestry
SAME123659	HG02138	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME122999	HG01276	female	Colombian	AMR	American Ancestry
SAME124612	HG02140	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839100	HG02778	female	Punjabi	SAS	South Asian Ancestry
SAME1840027	HG01303	female	Puerto Rican	AMR	American Ancestry
SAME124950	HG02082	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839169	HG02780	male	Punjabi	SAS	South Asian Ancestry
SAME1840002	HG01308	male	Puerto Rican	AMR	American Ancestry
SAME124678	HG02087	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839082	HG02944	male	Esan	AFR	African Ancestry
SAME124789	HG01182	male	Puerto Rican	AMR	American Ancestry
SAME1840108	HG02968	male	Esan	AFR	African Ancestry
SAME124783	HG01187	male	Puerto Rican	AMR	American Ancestry
SAME1840260	HG02970	female	Esan	AFR	African Ancestry
SAME124366	HG01199	male	Puerto Rican	AMR	American Ancestry
SAME1839322	HG02258	male	African Caribbean	AFR	African Ancestry
SAME124054	HG01125	female	Colombian	AMR	American Ancestry
SAME1839139	HG02260	female	Peruvian	AMR	American Ancestry
SAME1840015	HG02982	male	Gambian Mandinka	AFR	African Ancestry
SAME123888	HG01137	female	Colombian	AMR	American Ancestry
SAME1839117	HG02265	male	Peruvian	AMR	American Ancestry
SAME124009	HG01550	male	Colombian	AMR	American Ancestry
SAME1840314	HG02272	female	Peruvian	AMR	American Ancestry
SAME1839819	HG02817	female	Gambian Mandinka	AFR	African Ancestry
SAME124565	HG01567	female	Peruvian	AMR	American Ancestry
SAME1840370	HG02277	male	Peruvian	AMR	American Ancestry
SAME1839428	HG02836	male	Gambian Mandinka	AFR	African Ancestry
SAME124350	HG01579	male	Peruvian	AMR	American Ancestry
SAME1840168	HG02284	male	African Caribbean	AFR	African Ancestry
SAME1839330	HG02855	female	Gambian Mandinka	AFR	African Ancestry
SAME1839879	HG01586	male	Punjabi	SAS	South Asian Ancestry
SAME1839948	HG02291	male	Peruvian	AMR	American Ancestry
SAME1839029	HG03074	male	Mende	AFR	African Ancestry
SAME1840047	HG01485	male	Colombian	AMR	American Ancestry
SAME1840144	HG02450	female	African Caribbean	AFR	African Ancestry
SAME1839051	HG03079	female	Mende	AFR	African Ancestry
SAME124137	HG01492	female	Colombian	AMR	American Ancestry
SAME1840198	HG02455	male	African Caribbean	AFR	African Ancestry
SAME1840310	HG03081	male	Mende	AFR	African Ancestry
SAME124134	HG01497	male	Colombian	AMR	American Ancestry
SAME1839991	HG02462	female	Gambian Mandinka	AFR	African Ancestry
SAME1840331	HG03086	female	Mende	AFR	African Ancestry
SAME124941	HG01500	male	Iberian	EUR	European Ancestry
SAME124104	HG02373	male	Dai Chinese	EAS	East Asian Ancestry
SAME123238	HG01442	male	Colombian	AMR	American Ancestry
SAME1840045	HG02380	male	Dai Chinese	EAS	East Asian Ancestry
SAME1839647	HG03048	male	Gambian Mandinka	AFR	African Ancestry
SAME1839099	HG01447	female	Colombian	AMR	American Ancestry
SAME1840006	HG02385	male	Dai Chinese	EAS	East Asian Ancestry
SAME1839661	HG02316	male	African Caribbean	AFR	African Ancestry
SAME1840278	HG01459	female	Colombian	AMR	American Ancestry
SAME1839440	HG02323	male	African Caribbean	AFR	African Ancestry
SAME1839118	HG03163	male	Esan	AFR	African Ancestry
SAME122879	HG01461	male	Colombian	AMR	American Ancestry
SAME1839237	HG02330	male	African Caribbean	AFR	African Ancestry
SAME1839143	HG03168	female	Esan	AFR	African Ancestry
SAME1839634	HG01593	female	Punjabi	SAS	South Asian Ancestry
SAME1839776	HG02392	male	Dai Chinese	EAS	East Asian Ancestry
SAME125239	HG01598	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123308	HG02397	male	Dai Chinese	EAS	East Asian Ancestry
SAME1839830	HG03118	male	Esan	AFR	African Ancestry
SAME123455	HG01601	male	Iberian	EUR	European Ancestry
SAME1839557	HG03120	male	Esan	AFR	African Ancestry
SAME123458	HG01606	male	Iberian	EUR	European Ancestry
SAME1839548	HG02304	male	Peruvian	AMR	American Ancestry
SAME123626	HG01613	female	Iberian	EUR	European Ancestry
SAME1839525	HG02309	female	African Caribbean	AFR	African Ancestry
SAME1840407	HG03175	male	Esan	AFR	African Ancestry
SAME123631	HG01618	female	Iberian	EUR	European Ancestry
SAME1839021	HG02429	male	African Caribbean	AFR	African Ancestry
SAME123844	HG01620	female	Iberian	EUR	European Ancestry
SAME1839164	HG02436	male	African Caribbean	AFR	African Ancestry
SAME1839937	HG03199	male	Esan	AFR	African Ancestry
SAME125327	HG01524	male	Iberian	EUR	European Ancestry
SAME1839602	HG03202	male	Esan	AFR	African Ancestry
SAME125330	HG01529	male	Iberian	EUR	European Ancestry
SAME125136	HG01531	female	Iberian	EUR	European Ancestry
SAME1839208	HG02594	male	Gambian Mandinka	AFR	African Ancestry
SAME1839373	HG03132	female	Esan	AFR	African Ancestry
SAME125135	HG01536	male	Iberian	EUR	European Ancestry
SAME1839514	HG03055	female	Mende	AFR	African Ancestry
SAME1840290	HG02602	male	Punjabi	SAS	South Asian Ancestry
SAME1839798	HG02479	female	African Caribbean	AFR	African Ancestry
SAME1839239	HG01435	female	Colombian	AMR	American Ancestry
SAME1839870	HG02481	male	African Caribbean	AFR	African Ancestry
SAME124946	HG01505	male	Iberian	EUR	European Ancestry
SAME1839558	HG02486	male	African Caribbean	AFR	African Ancestry
SAME1839289	HG03238	female	Punjabi	SAS	South Asian Ancestry
SAME124769	HG01512	male	Iberian	EUR	European Ancestry
SAME1839704	HG02493	male	Punjabi	SAS	South Asian Ancestry
SAME1839050	HG03240	male	Gambian Mandinka	AFR	African Ancestry
SAME124772	HG01517	female	Iberian	EUR	European Ancestry
SAME1839899	HG02568	female	Gambian Mandinka	AFR	African Ancestry
SAME1839808	HG03461	female	Mende	AFR	African Ancestry
SAME122881	HG01466	female	Colombian	AMR	American Ancestry
SAME1839582	HG02570	male	Gambian Mandinka	AFR	African Ancestry
SAME1839687	HG03473	female	Mende	AFR	African Ancestry
SAME1839431	HG02582	male	Gambian Mandinka	AFR	African Ancestry
SAME1839979	HG03442	male	Mende	AFR	African Ancestry
SAME124524	HG01815	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839281	HG02501	male	African Caribbean	AFR	African Ancestry
SAME123551	HG01841	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839138	HG02513	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME123558	HG01846	male	Kinh,Kinh Vietnamese	EAS	East Asia (SGDP),East Asian Ancestry
SAME124657	HG01687	female	Iberian	EUR	European Ancestry
SAME1840165	HG02537	female	African Caribbean	AFR	African Ancestry
SAME1840195	HG03271	male	Esan	AFR	African Ancestry
SAME124844	HG01694	male	Iberian	EUR	European Ancestry
SAME1839917	HG02549	female	African Caribbean	AFR	African Ancestry
SAME1839210	HG01699	male	Iberian	EUR	European Ancestry
SAME123259	HG01702	female	Iberian	EUR	European Ancestry
SAME1839491	HG02676	female	Gambian Mandinka	AFR	African Ancestry
SAME1840385	HG02614	female	Gambian Mandinka	AFR	African Ancestry
SAME1839881	HG03295	male	Esan	AFR	African Ancestry
SAME124637	HG01771	male	Iberian	EUR	European Ancestry
SAME1840187	HG02621	female	Gambian Mandinka	AFR	African Ancestry
SAME1839485	HG03303	female	Esan	AFR	African Ancestry
SAME124632	HG01776	female	Iberian	EUR	European Ancestry
SAME1839541	HG02652	female	Punjabi	SAS	South Asian Ancestry
SAME123839	HG01625	male	Iberian	EUR	European Ancestry
SAME1839600	HG02657	male	Punjabi	SAS	South Asian Ancestry
SAME1839716	HG03372	female	Esan	AFR	African Ancestry
SAME124032	HG01632	female	Iberian	EUR	European Ancestry
SAME1839774	HG02645	male	Gambian Mandinka	AFR	African Ancestry
SAME123111	HG01668	female	Iberian	EUR	European Ancestry
SAME1839987	HG02715	male	Gambian Mandinka	AFR	African Ancestry
SAME1840409	HG03428	female	Mende	AFR	African Ancestry
SAME124427	HG01783	male	Iberian	EUR	European Ancestry
SAME1839747	HG02722	female	Gambian Mandinka	AFR	African Ancestry
SAME124222	HG01790	female	British	EUR	European Ancestry
SAME1839727	HG02727	male	Punjabi	SAS	South Asian Ancestry
SAME1839636	HG03391	male	Mende	AFR	African Ancestry
SAME123751	HG01853	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840280	HG02789	male	Punjabi	SAS	South Asian Ancestry
SAME1839396	HG03649	male	Punjabi	SAS	South Asian Ancestry
SAME123754	HG01858	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840342	HG02791	male	Punjabi	SAS	South Asian Ancestry
SAME123201	HG01860	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840084	HG02804	male	Gambian Mandinka	AFR	African Ancestry
SAME123196	HG01865	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839358	HG02688	female	Punjabi	SAS	South Asian Ancestry
SAME1839317	HG03663	male	Punjabi	SAS	South Asian Ancestry
SAME123290	HG01670	female	Iberian	EUR	European Ancestry
SAME1839088	HG02690	male	Punjabi	SAS	South Asian Ancestry
SAME1839338	HG03668	female	Punjabi	SAS	South Asian Ancestry
SAME123287	HG01675	male	Iberian	EUR	European Ancestry
SAME1840142	HG02703	female	Gambian Mandinka	AFR	African Ancestry
SAME1839618	HG03478	male	Mende	AFR	African Ancestry
SAME124654	HG01682	male	Iberian	EUR	European Ancestry
SAME1839869	HG02734	female	Punjabi	SAS	South Asian Ancestry
SAME124217	HG01795	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839469	HG03485	female	Mende	AFR	African Ancestry
SAME124300	HG01808	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839267	HG02760	female	Gambian Mandinka	AFR	African Ancestry
SAME1839171	HG03593	male	Bengali	SAS	South Asian Ancestry
SAME124519	HG01810	male	Dai Chinese	EAS	East Asian Ancestry
SAME1839039	HG02772	female	Gambian Mandinka	AFR	African Ancestry
SAME1839194	HG03598	female	Bengali	SAS	South Asian Ancestry
SAME123264	HG01707	female	Iberian	EUR	European Ancestry
SAME1839157	HG02784	female	Punjabi	SAS	South Asian Ancestry
SAME1840248	HG03606	male	Bengali	SAS	South Asian Ancestry
SAME124987	HG01757	female	Iberian	EUR	European Ancestry
SAME1840363	HG02878	male	Gambian Mandinka	AFR	African Ancestry
SAME124740	HG01997	female	Peruvian	AMR	American Ancestry
SAME123619	HG02003	female	Peruvian	AMR	American Ancestry
SAME1840157	HG02885	female	Gambian Mandinka	AFR	African Ancestry
SAME1839719	HG03625	female	Punjabi	SAS	South Asian Ancestry
SAME123621	HG02008	male	Peruvian	AMR	American Ancestry
SAME1839364	HG03567	female	Mende	AFR	African Ancestry
SAME123444	HG02010	female	African Caribbean	AFR	African Ancestry
SAME1839849	HG02811	female	Gambian Mandinka	AFR	African Ancestry
SAME123447	HG02015	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839822	HG02816	male	Gambian Mandinka	AFR	African Ancestry
SAME122845	HG01884	female	African Caribbean	AFR	African Ancestry
SAME1839336	HG02854	male	Gambian Mandinka	AFR	African Ancestry
SAME1839196	HG03492	male	Punjabi	SAS	South Asian Ancestry
SAME122851	HG01889	female	African Caribbean	AFR	African Ancestry
SAME1839125	HG02861	female	Gambian Mandinka	AFR	African Ancestry
SAME1840163	HG03517	female	Esan	AFR	African Ancestry
SAME123029	HG01891	female	African Caribbean	AFR	African Ancestry
SAME1840348	HG01896	female	African Caribbean	AFR	African Ancestry
SAME1840337	HG03687	male	Tamil	SAS	South Asian Ancestry
SAME124155	HG01947	male	Peruvian	AMR	American Ancestry
SAME1839638	HG03644	male	Tamil	SAS	South Asian Ancestry
SAME123980	HG01954	female	Peruvian	AMR	American Ancestry
SAME1839324	HG03066	male	Mende	AFR	African Ancestry
SAME1839883	HG03548	female	Mende	AFR	African Ancestry
SAME1839343	HG01959	female	African Caribbean	AFR	African Ancestry
SAME1839019	HG03073	female	Mende	AFR	African Ancestry
SAME124917	HG01980	female	Peruvian	AMR	American Ancestry
SAME1839047	HG03078	male	Mende,Mende	AFR	African Ancestry,Africa (SGDP)
SAME1839809	HG03714	female	Telugu	SAS	South Asian Ancestry
SAME1840099	HG01985	female	African Caribbean	AFR	African Ancestry
SAME124742	HG01992	female	Peruvian	AMR	American Ancestry
SAME1840328	HG03085	female	Mende,Mende	AFR	African Ancestry,Africa (SGDP)
SAME123782	HG01928	male	Peruvian	AMR	American Ancestry
SAME1840130	HG03097	female	Mende	AFR	African Ancestry
SAME123588	HG01935	male	Peruvian	AMR	American Ancestry
SAME1840003	HG03100	male	Esan,Esan	AFR	African Ancestry,Africa (SGDP)
SAME1840227	HG03788	male	Telugu	SAS	South Asian Ancestry
SAME124150	HG01942	female	Peruvian	AMR	American Ancestry
SAME1840041	HG03105	female	Esan	AFR	African Ancestry
SAME1839989	HG03790	male	Telugu	SAS	South Asian Ancestry
SAME1839067	HG01961	male	Peruvian	AMR	American Ancestry
SAME1839085	HG02943	female	Esan,Esan	AFR	African Ancestry,Africa (SGDP)
